,FI,LV,RU,sum
2023-01-09 20:00:00+00:00,0.0,385.0,295.0,680.0
2023-01-09 21:00:00+00:00,0.0,410.0,316.0,726.0
2023-01-09 22:00:00+00:00,0.0,436.0,320.0,756.0
2023-01-09 23:00:00+00:00,0.0,419.0,326.0,745.0
2023-01-10 00:00:00+00:00,0.0,401.0,291.0,692.0
2023-01-10 01:00:00+00:00,0.0,428.0,317.0,745.0
2023-01-10 02:00:00+00:00,0.0,443.0,263.0,706.0
2023-01-10 03:00:00+00:00,0.0,450.0,240.0,690.0
2023-01-10 04:00:00+00:00,0.0,446.0,225.0,671.0
2023-01-10 05:00:00+00:00,0.0,357.0,265.0,622.0
2023-01-10 06:00:00+00:00,0.0,290.0,253.0,543.0
2023-01-10 07:00:00+00:00,0.0,291.0,299.0,590.0
2023-01-10 08:00:00+00:00,0.0,295.0,308.0,603.0
2023-01-10 09:00:00+00:00,0.0,235.0,292.0,527.0
2023-01-10 10:00:00+00:00,0.0,275.0,322.0,597.0
2023-01-10 11:00:00+00:00,0.0,283.0,353.0,636.0
2023-01-10 12:00:00+00:00,0.0,287.0,350.0,637.0
2023-01-10 13:00:00+00:00,0.0,296.0,379.0,675.0
2023-01-10 14:00:00+00:00,0.0,314.0,375.0,689.0
2023-01-10 15:00:00+00:00,0.0,314.0,371.0,685.0
2023-01-10 16:00:00+00:00,0.0,359.0,359.0,718.0
2023-01-10 17:00:00+00:00,0.0,296.0,307.0,603.0
2023-01-10 18:00:00+00:00,0.0,352.0,315.0,667.0
2023-01-10 19:00:00+00:00,0.0,299.0,242.0,541.0
2023-01-10 20:00:00+00:00,0.0,339.0,378.0,717.0
2023-01-10 21:00:00+00:00,0.0,260.0,353.0,613.0
2023-01-10 22:00:00+00:00,0.0,101.0,183.0,284.0
2023-01-10 23:00:00+00:00,0.0,135.0,227.0,362.0
2023-01-11 00:00:00+00:00,0.0,97.0,220.0,317.0
2023-01-11 01:00:00+00:00,0.0,93.0,234.0,327.0
2023-01-11 02:00:00+00:00,0.0,104.0,247.0,351.0
2023-01-11 03:00:00+00:00,0.0,129.0,257.0,386.0
2023-01-11 04:00:00+00:00,0.0,53.0,120.0,173.0
2023-01-11 05:00:00+00:00,0.0,326.0,277.0,603.0
2023-01-11 06:00:00+00:00,0.0,339.0,300.0,639.0
2023-01-11 07:00:00+00:00,0.0,318.0,284.0,602.0
2023-01-11 08:00:00+00:00,0.0,271.0,267.0,538.0
2023-01-11 09:00:00+00:00,0.0,301.0,309.0,610.0
2023-01-11 10:00:00+00:00,0.0,264.0,276.0,540.0
2023-01-11 11:00:00+00:00,0.0,264.0,295.0,559.0
2023-01-11 12:00:00+00:00,0.0,290.0,288.0,578.0
2023-01-11 13:00:00+00:00,0.0,272.0,277.0,549.0
2023-01-11 14:00:00+00:00,0.0,297.0,291.0,588.0
2023-01-11 15:00:00+00:00,0.0,286.0,294.0,580.0
2023-01-11 16:00:00+00:00,0.0,321.0,323.0,644.0
2023-01-11 17:00:00+00:00,0.0,328.0,281.0,609.0
2023-01-11 18:00:00+00:00,0.0,301.0,272.0,573.0
2023-01-11 19:00:00+00:00,0.0,290.0,253.0,543.0
2023-01-11 20:00:00+00:00,0.0,124.0,245.0,369.0
2023-01-11 21:00:00+00:00,0.0,14.0,177.0,191.0
2023-01-11 22:00:00+00:00,0.0,153.0,325.0,478.0
2023-01-11 23:00:00+00:00,0.0,176.0,241.0,417.0
2023-01-12 00:00:00+00:00,0.0,148.0,201.0,349.0
2023-01-12 01:00:00+00:00,0.0,222.0,266.0,488.0
2023-01-12 02:00:00+00:00,0.0,266.0,270.0,536.0
2023-01-12 03:00:00+00:00,0.0,418.0,286.0,704.0
2023-01-12 04:00:00+00:00,0.0,207.0,114.0,321.0
2023-01-12 05:00:00+00:00,0.0,294.0,220.0,514.0
2023-01-12 06:00:00+00:00,0.0,332.0,266.0,598.0
2023-01-12 07:00:00+00:00,0.0,320.0,312.0,632.0
2023-01-12 08:00:00+00:00,0.0,276.0,277.0,553.0
2023-01-12 09:00:00+00:00,0.0,306.0,290.0,596.0
2023-01-12 10:00:00+00:00,0.0,251.0,262.0,513.0
2023-01-12 11:00:00+00:00,0.0,238.0,275.0,513.0
2023-01-12 12:00:00+00:00,0.0,255.0,271.0,526.0
2023-01-12 13:00:00+00:00,0.0,247.0,298.0,545.0
2023-01-12 14:00:00+00:00,0.0,302.0,320.0,622.0
2023-01-12 15:00:00+00:00,0.0,335.0,324.0,659.0
2023-01-12 16:00:00+00:00,0.0,354.0,348.0,702.0
2023-01-12 17:00:00+00:00,0.0,395.0,367.0,762.0
2023-01-12 18:00:00+00:00,0.0,348.0,305.0,653.0
2023-01-12 19:00:00+00:00,0.0,306.0,296.0,602.0
