,AT,HR,IT,HU,sum
2023-01-04 15:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 16:00:00+00:00,0.0,120.0,723.0,0.0,843.0
2023-01-04 16:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 16:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 16:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 17:00:00+00:00,0.0,0.0,873.0,0.0,873.0
2023-01-04 17:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 17:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 17:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 18:00:00+00:00,0.0,51.0,920.0,0.0,971.0
2023-01-04 18:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 18:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 18:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 19:00:00+00:00,0.0,87.0,964.0,0.0,1051.0
2023-01-04 19:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 19:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 19:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 20:00:00+00:00,0.0,63.0,1016.0,0.0,1079.0
2023-01-04 20:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 20:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 20:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 21:00:00+00:00,0.0,91.0,887.0,0.0,978.0
2023-01-04 21:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 21:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 21:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 22:00:00+00:00,0.0,208.0,695.0,0.0,903.0
2023-01-04 22:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 22:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 22:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 23:00:00+00:00,0.0,1.0,779.0,0.0,780.0
2023-01-04 23:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 23:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 23:45:00+00:00,1.0,,,0.0,1.0
2023-01-05 00:00:00+00:00,24.0,16.0,393.0,0.0,433.0
2023-01-05 00:15:00+00:00,44.0,,,0.0,44.0
2023-01-05 00:30:00+00:00,52.0,,,0.0,52.0
2023-01-05 00:45:00+00:00,67.0,,,0.0,67.0
2023-01-05 01:00:00+00:00,100.0,76.0,158.0,0.0,334.0
2023-01-05 01:15:00+00:00,105.0,,,0.0,105.0
2023-01-05 01:30:00+00:00,95.0,,,0.0,95.0
2023-01-05 01:45:00+00:00,94.0,,,0.0,94.0
2023-01-05 02:00:00+00:00,112.0,0.0,245.0,0.0,357.0
2023-01-05 02:15:00+00:00,112.0,,,0.0,112.0
2023-01-05 02:30:00+00:00,113.0,,,0.0,113.0
2023-01-05 02:45:00+00:00,114.0,,,0.0,114.0
2023-01-05 03:00:00+00:00,99.0,4.0,184.0,0.0,287.0
2023-01-05 03:15:00+00:00,104.0,,,0.0,104.0
2023-01-05 03:30:00+00:00,106.0,,,0.0,106.0
2023-01-05 03:45:00+00:00,104.0,,,0.0,104.0
2023-01-05 04:00:00+00:00,84.0,124.0,66.0,0.0,274.0
2023-01-05 04:15:00+00:00,68.0,,,0.0,68.0
2023-01-05 04:30:00+00:00,61.0,,,0.0,61.0
2023-01-05 04:45:00+00:00,43.0,,,0.0,43.0
2023-01-05 05:00:00+00:00,9.0,121.0,143.0,0.0,273.0
2023-01-05 05:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 05:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 05:45:00+00:00,0.0,,,0.0,0.0
2023-01-05 06:00:00+00:00,0.0,78.0,284.0,0.0,362.0
2023-01-05 06:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 06:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 06:45:00+00:00,0.0,,,0.0,0.0
2023-01-05 07:00:00+00:00,0.0,0.0,628.0,0.0,628.0
2023-01-05 07:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 07:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 07:45:00+00:00,0.0,,,0.0,0.0
2023-01-05 08:00:00+00:00,0.0,0.0,656.0,0.0,656.0
2023-01-05 08:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 08:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 08:45:00+00:00,0.0,,,0.0,0.0
2023-01-05 09:00:00+00:00,0.0,0.0,787.0,0.0,787.0
2023-01-05 09:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 09:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 09:45:00+00:00,0.0,,,0.0,0.0
2023-01-05 10:00:00+00:00,0.0,0.0,780.0,0.0,780.0
2023-01-05 10:15:00+00:00,0.0,,,0.0,0.0
2023-01-05 10:30:00+00:00,0.0,,,0.0,0.0
2023-01-05 10:45:00+00:00,0.0,,,0.0,0.0
