,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
191,0.0,Unplanned outage,,2022-01-07 16:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT1M,2022-01-07 16:00:00+00:00
192,780.0,Planned maintenance,,2022-01-08 03:00:00+00:00,905.0,Nuclear,17W100P100P0191C,PT30M,2022-01-08 03:00:00+00:00
193,780.0,Planned maintenance,,2022-01-08 03:00:00+00:00,905.0,Nuclear,17W100P100P0191C,PT60M,2022-01-03 03:00:00+00:00
194,984.0,Planned maintenance,,2022-01-08 14:00:00+00:00,1300.0,Nuclear,17W100P100P01881,PT60M,2022-01-05 15:00:00+00:00
195,984.0,Planned maintenance,,2022-01-08 15:00:00+00:00,1300.0,Nuclear,17W100P100P01881,PT30M,2022-01-08 14:00:00+00:00
196,0.0,Unplanned outage,,2022-01-08 03:00:00+00:00,240.0,Hydro Pumped Storage,17W100P100P02748,PT1M,2022-01-08 03:00:00+00:00
197,0.0,Unplanned outage,,2022-01-08 04:00:00+00:00,240.0,Hydro Pumped Storage,17W100P100P02748,PT30M,2022-01-08 03:00:00+00:00
198,0.0,Unplanned outage,,2022-01-08 04:00:00+00:00,240.0,Hydro Pumped Storage,17W100P100P02748,PT1M,2022-01-08 04:00:00+00:00
199,0.0,Unplanned outage,,2022-01-08 13:00:00+00:00,1330.0,Nuclear,17W100P100P0221T,PT60M,2022-01-07 14:00:00+00:00
200,0.0,Unplanned outage,,2022-01-07 14:00:00+00:00,1330.0,Nuclear,17W100P100P0221T,PT1M,2022-01-07 14:00:00+00:00
201,0.0,Unplanned outage,,2022-01-08 13:00:00+00:00,1330.0,Nuclear,17W100P100P0221T,PT30M,2022-01-08 13:00:00+00:00
202,0.0,Unplanned outage,,2022-01-08 14:00:00+00:00,240.0,Hydro Pumped Storage,17W100P100P02748,PT1M,2022-01-08 13:00:00+00:00
203,180.0,Planned maintenance,,2022-01-09 12:00:00+00:00,910.0,Nuclear,17W100P100P0180H,PT60M,2022-01-09 10:00:00+00:00
204,180.0,Planned maintenance,,2022-01-09 10:00:00+00:00,910.0,Nuclear,17W100P100P0180H,PT30M,2022-01-09 09:00:00+00:00
205,0.0,Unplanned outage,,2022-01-09 09:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT1M,2022-01-09 09:00:00+00:00
206,0.0,Unplanned outage,,2022-01-09 08:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT60M,2022-01-07 17:00:00+00:00
207,0.0,Unplanned outage,,2022-01-07 17:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT1M,2022-01-07 17:00:00+00:00
208,0.0,Unplanned outage,,2022-01-09 09:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT30M,2022-01-09 08:00:00+00:00
209,745.0,Planned maintenance,,2022-01-09 11:00:00+00:00,915.0,Nuclear,17W100P100P0199X,PT60M,2022-01-09 08:00:00+00:00
210,745.0,Planned maintenance,,2022-01-09 11:00:00+00:00,915.0,Nuclear,17W100P100P0199X,PT30M,2022-01-09 11:00:00+00:00
211,0.0,Planned maintenance,,2022-01-09 14:00:00+00:00,125.0,Fossil Oil,17W100P100P0255C,PT60M,2022-01-07 23:00:00+00:00
212,0.0,Planned maintenance,,2022-01-09 14:00:00+00:00,125.0,Fossil Oil,17W100P100P0255C,PT1M,2022-01-09 14:00:00+00:00
213,1210.0,Planned maintenance,,2022-01-10 04:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT60M,2022-01-09 09:00:00+00:00
214,1210.0,Planned maintenance,,2022-01-09 09:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT15M,2022-01-09 09:00:00+00:00
215,1210.0,Planned maintenance,,2022-01-09 09:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT1M,2022-01-09 09:00:00+00:00
216,1210.0,Planned maintenance,,2022-01-10 05:00:00+00:00,1330.0,Nuclear,17W100P100P0210Y,PT30M,2022-01-10 04:00:00+00:00
217,0.0,Unplanned outage,,2022-01-10 07:00:00+00:00,45.0,Fossil Gas,17W100P100P0335E,PT30M,2022-01-10 07:00:00+00:00
218,0.0,Unplanned outage,,2022-01-10 09:00:00+00:00,45.0,Fossil Gas,17W100P100P0335E,PT30M,2022-01-10 08:00:00+00:00
219,0.0,Unplanned outage,,2022-01-10 08:00:00+00:00,45.0,Fossil Gas,17W100P100P0335E,PT60M,2022-01-10 07:00:00+00:00
220,1180.0,Unplanned outage,,2022-01-10 20:00:00+00:00,1300.0,Nuclear,17W100P100P01873,PT60M,2022-01-10 17:00:00+00:00
221,1180.0,Unplanned outage,,2022-01-10 17:00:00+00:00,1300.0,Nuclear,17W100P100P01873,PT30M,2022-01-10 17:00:00+00:00
222,510.0,Planned maintenance,,2022-01-12 11:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT60M,2022-01-12 08:00:00+00:00
223,0.0,Planned maintenance,,2022-01-11 10:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT60M,2022-01-11 04:00:00+00:00
224,0.0,Planned maintenance,,2022-01-19 11:00:00+00:00,124.0,Hydro Water Reservoir,17W100P100P02942,PT60M,2022-01-19 09:00:00+00:00
