;Code;City;Country;Latitude;Longitude
116;EGOW;Woodvale;United Kingdom;54.6105885;-5.9617824
117;EGPA;Kirkwall;United Kingdom;58.9816049;-2.960369
118;EGPB;Sumburgh;United Kingdom;59.8780367;-1.2867463
119;EGPC;Wick;United Kingdom;58.4425516;-3.0915827
120;EGPD;Aberdeen ;United Kingdom;57.1482429;-2.0928095
121;EGPE;Inverness;United Kingdom;57.4790124;-4.225739
122;EGPF;Glasgow;United Kingdom;55.861155;-4.2501687
123;EGPH;Edinburgh;United Kingdom;55.9533456;-3.1883749
124;EGPI;Islay;United Kingdom;55.7585802;-6.1656723
125;EGPK;Prestwick;United Kingdom;55.4982802;-4.6113017
126;EGPL;Benbecula;United Kingdom;57.4464256;-7.338421
127;EGPO;Stornoway;United Kingdom;58.2084053;-6.3881174
128;EGPU;Tiree;United Kingdom;56.498356;-6.894488
129;EGQL;Leuchars;United Kingdom;56.374796;-2.8938545
130;EGQM;Boulmer;United Kingdom;55.4211614;-1.5813144
131;EGQS;Lossiemouth;United Kingdom;57.7220766;-3.2814625
132;EGSC;Cambridge;United Kingdom;52.2055314;0.1186637
133;EGSH;Norwich;United Kingdom;52.6285576;1.2923954
134;EGSS;London ;United Kingdom;51.5074456;-0.1277653
135;EGTC;Cranfield;United Kingdom;52.0690205;-0.6079317
136;EGTE;Exeter;United Kingdom;50.7256138;-3.5269209
137;EGTK;Oxford ;United Kingdom;51.7520131;-1.2578499
138;EGUB;Benson;United Kingdom;51.6211826;-1.1084793
139;EGUL;Lakenheath ;United Kingdom;52.4175635;0.5180418
140;EGUN;Mildenhall ;United Kingdom;52.3455998;0.5127653
141;EGUW;Wattisham;United Kingdom;52.1261961;0.9367006
142;EGVA;Fairford ;United Kingdom;51.7107733;-1.782001
143;EGVN;Brize Norton;United Kingdom;51.7664356;-1.5664074
144;EGVO;Odiham;United Kingdom;51.2496285;-0.9346917
145;EGVP;Middle Wallop;United Kingdom;51.1393682;-1.5811102
146;EGWC;Cosford;United Kingdom;52.6448458;-2.3006927
147;EGWU;Northolt;United Kingdom;51.5484582;-0.3695247
148;EGXC;Coningsby;United Kingdom;53.088725;-0.1630624
149;EGXE;Leeming;United Kingdom;54.2984091;-1.5497583
150;EGXT;Wittering;United Kingdom;52.6099806;-0.4449699
151;EGXW;Waddington;United Kingdom;53.175354;-0.5561273
152;EGXZ;Topcliffe;United Kingdom;54.1781348;-1.3871054
153;EGYD;Cranwell;United Kingdom;53.0375651;-0.4629025
154;EGYE;Barkston Heath;United Kingdom;52.9637176;-0.5906836
155;EGYM;Marham;United Kingdom;52.6608915;0.5370125
156;EHAM;Amsterdam ;Netherlands;52.3730796;4.8924534
157;EHBK;Maastricht ;Netherlands;50.8512438;5.6909768
158;EHDL;Arnhem ;Netherlands;51.984257;5.9108573
159;EHEH;Eindhoven;Netherlands;51.4392648;5.478633
160;EHGG;Groningen ;Netherlands;53.2190652;6.5680077
161;EHGR;Gilze-Rijen;Netherlands;51.563239;4.9130394
162;EHKD;De Kooy;Netherlands;52.9135478;4.7946
163;EHLE;Lelystad;Netherlands;52.5150949;5.4768915
164;EHLW;Leeuwarden;Netherlands;53.2005936;5.7918548
165;EHRD;Rotterdam;Netherlands;51.9244424;4.47775
166;EHVK;Volkel;Netherlands;51.6440771;5.6557033
167;EHWO;Woensdrecht;Netherlands;51.4106688;4.327761
168;EICK;Cork;Ireland;51.897077;-8.4654674
169;EIDW;Dublin ;Ireland;53.3493795;-6.2605593
170;EIKN;Ireland West ;Ireland;53.9115807;-8.8131427
171;EIKY;Kerry;Ireland;52.1453345;-9.5174011
172;EIME;Baldonnel ;Ireland;53.3101717;-6.4422618
173;EINN;Shannon;Ireland;53.1349614;-8.1611027
174;EISG;Sligo;Ireland;54.2720696;-8.4751357
175;EIWF;Waterford;Ireland;52.2609997;-7.1119081
176;EKAH;Aarhus;Denmark;56.1496278;10.2134046
177;EKBI;Billund;Denmark;55.7247018;9.1195835
178;EKCH;Copenhagen ;Denmark;55.6867243;12.5700724
179;EKEB;Esbjerg;Denmark;55.4664892;8.4520751
180;EKKA;Karup ;Denmark;56.3111225;9.1706768
181;EKOD;Odense ;Denmark;55.3997225;10.3852104
182;EKRK;Copenhagen ;Denmark;55.6867243;12.5700724
183;EKRN;Bornholm ;Denmark;55.1431224;14.9226297
184;EKRS;Ringsted;Denmark;55.446817;11.7975218
185;EKSB;Sonderborg;Denmark;54.9089186;9.7897999
186;EKSP;Vojens/Skrydstrup ;Denmark;55.2419135;9.2523033
187;EKVD;Kolding ;Denmark;55.4894999;9.47905
188;EKVJ;Stauning;Denmark;55.9622311;8.3722636
189;EKYT;Aalborg;Denmark;57.0462626;9.9215263
190;EKVG;Vagar;Faroe Island;65.0;-18.0
191;ELLX;Luxembourg;Luxembourg;49.8158683;6.1296751
192;ENAL;Alesund ;Norway;62.4802363;6.5550739
193;ENAN;Andenes ;Norway;69.3122989;16.1057085
194;ENAT;Alta;Norway;69.9666046;23.2733282
195;ENBL;Forde ;Norway;61.4521759;5.8571725
196;ENBN;Bronnoysund ;Norway;65.4748755;12.2116394
