,AL,BG,TR,IT,MK,sum
2024-01-08 10:00:00+00:00,0.0,0.0,4.0,0.0,0.0,4.0
2024-01-08 11:00:00+00:00,0.0,0.0,7.0,0.0,0.0,7.0
2024-01-08 12:00:00+00:00,0.0,0.0,23.0,0.0,0.0,23.0
2024-01-08 13:00:00+00:00,0.0,0.0,82.0,0.0,0.0,82.0
2024-01-08 14:00:00+00:00,0.0,0.0,59.0,0.0,0.0,59.0
2024-01-08 15:00:00+00:00,0.0,0.0,62.0,0.0,0.0,62.0
2024-01-08 16:00:00+00:00,1.0,0.0,66.0,0.0,0.0,67.0
2024-01-08 17:00:00+00:00,10.0,0.0,55.0,0.0,0.0,65.0
2024-01-08 18:00:00+00:00,0.0,0.0,51.0,0.0,0.0,51.0
2024-01-08 19:00:00+00:00,0.0,0.0,74.0,35.0,0.0,109.0
2024-01-08 20:00:00+00:00,0.0,69.0,114.0,0.0,1.0,184.0
2024-01-08 21:00:00+00:00,103.0,321.0,162.0,0.0,142.0,728.0
2024-01-08 22:00:00+00:00,123.0,394.0,174.0,0.0,197.0,888.0
2024-01-08 23:00:00+00:00,57.0,260.0,145.0,73.0,95.0,630.0
2024-01-09 00:00:00+00:00,43.0,284.0,169.0,155.0,141.0,792.0
2024-01-09 01:00:00+00:00,236.0,433.0,176.0,0.0,451.0,1296.0
2024-01-09 02:00:00+00:00,166.0,298.0,135.0,39.0,353.0,991.0
2024-01-09 03:00:00+00:00,111.0,201.0,123.0,452.0,238.0,1125.0
2024-01-09 04:00:00+00:00,156.0,135.0,123.0,490.0,243.0,1147.0
2024-01-09 05:00:00+00:00,45.0,1.0,82.0,490.0,37.0,655.0
2024-01-09 06:00:00+00:00,0.0,0.0,33.0,490.0,0.0,523.0
2024-01-09 07:00:00+00:00,0.0,0.0,42.0,490.0,0.0,532.0
2024-01-09 08:00:00+00:00,0.0,0.0,32.0,452.0,0.0,484.0
2024-01-09 09:00:00+00:00,0.0,0.0,30.0,473.0,0.0,503.0
2024-01-09 10:00:00+00:00,0.0,0.0,45.0,330.0,0.0,375.0
2024-01-09 11:00:00+00:00,0.0,0.0,30.0,379.0,0.0,409.0
2024-01-09 12:00:00+00:00,0.0,0.0,36.0,290.0,0.0,326.0
2024-01-09 13:00:00+00:00,0.0,0.0,15.0,0.0,0.0,15.0
2024-01-09 14:00:00+00:00,0.0,0.0,8.0,0.0,0.0,8.0
2024-01-09 15:00:00+00:00,0.0,0.0,22.0,0.0,0.0,22.0
2024-01-09 16:00:00+00:00,0.0,0.0,12.0,0.0,0.0,12.0
2024-01-09 17:00:00+00:00,0.0,0.0,20.0,33.0,0.0,53.0
2024-01-09 18:00:00+00:00,0.0,0.0,26.0,0.0,0.0,26.0
2024-01-09 19:00:00+00:00,0.0,0.0,5.0,0.0,0.0,5.0
2024-01-09 20:00:00+00:00,0.0,0.0,13.0,0.0,0.0,13.0
2024-01-09 21:00:00+00:00,0.0,0.0,70.0,0.0,0.0,70.0
2024-01-09 22:00:00+00:00,0.0,25.0,105.0,0.0,0.0,130.0
2024-01-09 23:00:00+00:00,0.0,42.0,128.0,0.0,0.0,170.0
2024-01-10 00:00:00+00:00,0.0,199.0,174.0,0.0,1.0,374.0
2024-01-10 01:00:00+00:00,0.0,157.0,140.0,0.0,0.0,297.0
2024-01-10 02:00:00+00:00,0.0,124.0,115.0,0.0,2.0,241.0
2024-01-10 03:00:00+00:00,0.0,115.0,128.0,0.0,19.0,262.0
2024-01-10 04:00:00+00:00,49.0,32.0,103.0,0.0,22.0,206.0
2024-01-10 05:00:00+00:00,0.0,0.0,22.0,0.0,0.0,22.0
2024-01-10 06:00:00+00:00,0.0,0.0,20.0,93.0,0.0,113.0
2024-01-10 07:00:00+00:00,0.0,0.0,16.0,0.0,0.0,16.0
2024-01-10 08:00:00+00:00,0.0,0.0,15.0,0.0,0.0,15.0
2024-01-10 09:00:00+00:00,0.0,0.0,29.0,0.0,0.0,29.0
2024-01-10 10:00:00+00:00,0.0,0.0,14.0,0.0,0.0,14.0
2024-01-10 11:00:00+00:00,0.0,0.0,17.0,0.0,0.0,17.0
2024-01-10 12:00:00+00:00,0.0,0.0,16.0,0.0,0.0,16.0
2024-01-10 13:00:00+00:00,0.0,0.0,16.0,0.0,0.0,16.0
2024-01-10 14:00:00+00:00,0.0,0.0,20.0,0.0,0.0,20.0
2024-01-10 15:00:00+00:00,0.0,0.0,13.0,0.0,0.0,13.0
2024-01-10 16:00:00+00:00,0.0,0.0,14.0,0.0,0.0,14.0
2024-01-10 17:00:00+00:00,0.0,0.0,7.0,1.0,0.0,8.0
2024-01-10 18:00:00+00:00,0.0,0.0,4.0,393.0,0.0,397.0
2024-01-10 19:00:00+00:00,0.0,0.0,5.0,401.0,0.0,406.0
2024-01-10 20:00:00+00:00,0.0,0.0,3.0,351.0,0.0,354.0
2024-01-10 21:00:00+00:00,65.0,20.0,69.0,0.0,6.0,160.0
