DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2002,4.80,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2003,5.57,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2004,5.01,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2005,5.20,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2006,4.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2007,5.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2008,4.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2009,4.53,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2010,3.46,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2011,4.73,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2012,4.34,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2013,3.63,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2014,3.79,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2015,4.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2016,4.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2017,4.83,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2018,4.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2019,3.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2000,1.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2001,2.06,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2002,1.73,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2003,1.76,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2004,1.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2005,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2006,2.03,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2007,1.93,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2008,1.28,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2009,1.38,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2010,1.30,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2011,1.2,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2012,0.87,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2013,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2014,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2015,1.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,FI,2016,1.22,
