,DE,AT,SE,FR,IT,PL,ES,NL,BE,IE
2022-04-17,14584112128.0,7146185728.0,425765376608.0,79799098560.0,250661488512.0,111492677504.0,108993558671.71426,0.0,0.0,451617273176.0
2022-04-18,0.0,5808328704.0,128049931736.0,136481340224.0,49528401376.0,40960589184.0,68690023188.0,0.0,4791867904.0,27884605928.0
2022-04-19,234700792576.0,410847230464.0,116590363872.0,204649175792.0,100322554240.0,535584290176.0,688362449970.0,11021785792.0,47772578048.0,6257485048.0
2022-04-20,542916703744.0,0.0,4859200896.0,2151412527232.0,354196301976.0,1211296601280.0,1182860453144.0,0.0,3550704896.0,177561458272.0
2022-04-21,444520782848.0,23318110208.0,684179557.0848083,1364719947136.0,2085204684796.0,898512462336.0,1431927921487.418,0.0,1579630336.0,46680833392.0
2022-04-22,115708173824.0,1018712924160.0,51074700736.0,967076875456.0,1885115284832.0,370258197312.0,3823160105670.0,470155744.0,798644608.0,70972440992.0
2022-04-23,212141111808.0,116247095808.0,46537003032.76802,3302778645632.0,422055848960.0,104254682560.0,2152072251044.0,0.0,8731331520.0,1195939072.0
2022-04-24,1172770371584.0,336759998720.0,36122417600.0,1687056431232.0,598114581824.0,304975564288.0,77719644576.0,0.0,0.0,11318520856.0
2022-04-25,632909607424.0,100369199360.0,321137035008.0,236524209728.0,109230225856.0,1389171853696.0,64726618728.0,17180924096.0,27014025984.0,4306926876.0
2022-04-26,897304052864.0,250534509184.0,97070373632.0,34656035200.0,56044017440.0,49043071744.0,537952701244.0,2733689984.0,0.0,20187361536.0
2022-04-27,68919712000.0,414234508288.0,108368360544.0,531588570112.0,0.0,61821126048.0,2603994541120.0,0.0,0.0,38069110864.0
2022-04-28,0.0,0.0,241192069920.0,2068670652224.0,466069677480.0,29058862912.0,2727525988784.0,0.0,976707712.0,50747913373.885
2022-04-29,1257887565952.0,0.0,477624726208.0,1150249832158.9326,1404925180414.0,5585213440.0,273604912176.0,267837717248.0,209276280832.0,207892163168.0
2022-04-30,2672449993984.0,58730839552.0,484936878563.481,268265791232.0,74557955010.0,427038825728.0,268109708752.0,6605001648.0,0.0,496261358592.0
2022-05-01,373438201152.0,226031681024.0,264557833520.0,516530241696.0,740371798636.7075,448206649344.0,53951903962.83052,48750063040.0,28413005568.0,118425895744.0
2022-05-02,140899745280.0,191153102592.0,820003764624.0,660407116480.0,177044158533.0,33113355584.0,1191603975828.0,0.0,0.0,15319434272.0
2022-05-03,25467758848.0,7732920320.0,10325961040.0,561825627296.0,142604285581.86304,12543291680.0,691354137309.0,0.0,0.0,123151065520.0
